Domain,Price,Status,Date,Type,Bids
adiumx.com,10600,SOLD,2026-02-02,Dropped,105
arkea-bbhotels.com,5000,SOLD,2026-02-02,Dropped,46
ourstories.com,3400,SOLD,2026-02-02,Dropped,51
theglasgowbarras.com,3201,SOLD,2026-02-02,Dropped,33
brainmark.com,2700,SOLD,2026-02-02,Dropped,51
sharonct.org,2600,SOLD,2026-02-02,Dropped,53
cedricdelsaux.com,2522,SOLD,2026-02-02,Dropped,38
booseeka.com,2269,SOLD,2026-02-02,Dropped,52
souse.com,1500,SOLD,2026-02-02,Dropped,57
hometopia.com,1338,SOLD,2026-02-02,Dropped,45
thespaceonmain.org,1300,SOLD,2026-02-02,Dropped,30
masoncountytourism.org,1149,SOLD,2026-02-02,Dropped,18
bellevillewaterfrontfestival.com,1120,SOLD,2026-02-02,Dropped,24
companydirect.com,1100,SOLD,2026-02-02,Dropped,32
nbold.com,1100,SOLD,2026-02-02,Dropped,55
pokelondon.com,1020,SOLD,2026-02-02,Dropped,40
gifrecorder.com,1000,SOLD,2026-02-02,Dropped,37
algorules.org,950,SOLD,2026-02-02,Dropped,43
edgeupyyc.com,919,SOLD,2026-02-02,Dropped,43
gratisbet.com,767,SOLD,2026-02-02,Dropped,42
perspekt.com,754,SOLD,2026-02-02,Dropped,45
olwenfouere.com,750,SOLD,2026-02-02,Dropped,36
newyinzer.com,749,SOLD,2026-02-02,Dropped,42
padtex.com,715,SOLD,2026-02-02,Dropped,51
dontcrampourstyle.com,705,SOLD,2026-02-02,Dropped,19
