Domain,Price,Status,Date,Type,Bids
WorldLab.com,11000,SOLD,2026-02-19,Dropped,182
Sarl.com,6055,Active,2026-02-19,Dropped,166
AfricanamericanChefsHalloffame.org,3050,SOLD,2026-02-19,Dropped,41
TheSailingBay.com,2100,SOLD,2026-02-19,Dropped,57
PelajarIndo.com,1800,SOLD,2026-02-19,Private Seller,20
InformAs.org,1655,SOLD,2026-02-19,Dropped,21
YingYang.com,1400,Active,2026-02-19,Dropped,78
Smoe.com,1310,SOLD,2026-02-19,Dropped,106
AeroPure.com,1049,SOLD,2026-02-19,Dropped,61
world-governance.org,1049,SOLD,2026-02-19,Dropped,28
edfadntour-handisport.org,1220,SOLD,2026-02-19,Dropped,20
EsrNational.org,927,SOLD,2026-02-19,Dropped,11
osaisons-ochateaux.com,1020,SOLD,2026-02-19,Private Seller,42
independentyoganetwork.org,900,SOLD,2026-02-19,Private Seller,33
eu-meenas.net,750,SOLD,2026-02-19,Private Seller,35
eipin-innovationsociety.org,716,SOLD,2026-02-19,Dropped,17
GoFiles.com,651,SOLD,2026-02-19,Dropped,68
AvonVoices.com,606,SOLD,2026-02-19,Dropped,8
NordSeeStrand.com,605,SOLD,2026-02-19,Dropped,15
ViMusics.net,605,SOLD,2026-02-19,Dropped,9
HackHarassment.com,605,SOLD,2026-02-19,Dropped,9
ContraReturnSm.com,605,SOLD,2026-02-19,Dropped,30
Zscdc.com,604,SOLD,2026-02-19,Dropped,38
JoesWebTools.com,1002,SOLD,2026-02-19,Dropped,46
FastStore.com,600,Active,2026-02-19,Dropped,84
smhl-hh.org,555,SOLD,2026-02-19,Dropped,10
afev-iledefrance.org,550,SOLD,2026-02-19,Dropped,23
Cuewb.org,550,SOLD,2026-02-19,Dropped,39
DoctorShearingServices.net,515,SOLD,2026-02-19,Dropped,37
Atecno.com,509,SOLD,2026-02-19,Dropped,32
CompleXaRx.com,504,SOLD,2026-02-19,Dropped,37
bestclambar.com,497,SOLD,2026-02-19,Private Seller,35
justicepourgregory.com,470,SOLD,2026-02-19,Private Seller,25
OrbitAi.org,464,SOLD,2026-02-19,Dropped,5
BokePsin.com,445,SOLD,2026-02-19,Dropped,27
ArchivOperOnista.com,425,SOLD,2026-02-19,Dropped,28
STICKERRIDE.COM,420,SOLD,2026-02-19,Private Seller,19
MyAirship.com,1600,SOLD,2026-02-19,Dropped,41
Aldab.com,400,Active,2026-02-19,Private Seller,29
Eqim.com,400,Active,2026-02-19,Dropped,72
Kkmn.com,393,Active,2026-02-19,Private Seller,21
dumuu.com,384,Active,2026-02-19,Private Seller,29
UltraSheer.com,363,SOLD,2026-02-19,Dropped,34
TriumphDigital.com,362,SOLD,2026-02-19,Dropped,28
BacalAgers.com,504,SOLD,2026-02-19,Dropped,46
VehicleTrackingSystem.com,340,Active,2026-02-19,Dropped,31
HeleNi.com,474,SOLD,2026-02-19,Dropped,38
RijekaPsihoLogiJe.org,320,SOLD,2026-02-19,Dropped,9
BankPortal.com,320,Active,2026-02-19,Dropped,49
OUXX.com,320,SOLD,2026-02-19,Private Seller,28
FundaCionlopezquintas.org,320,Active,2026-02-19,Dropped,21
GptMarketing.com,316,Active,2026-02-19,Dropped,49
Geonamecheck.com,310,Active,2026-02-19,Private Seller,10
kxi.org,301,SOLD,2026-02-19,Pre-Release,35
Tmgp.com,297,Active,2026-02-19,Dropped,72
wsf2022.org,295,SOLD,2026-02-19,Dropped,14
HappyCompanies.com,270,Active,2026-02-19,Dropped,6
619Area.com,264,Active,2026-02-19,Private Seller,23
BongHwafEstival.com,260,SOLD,2026-02-19,Dropped,7
BangkokCafe.net,260,SOLD,2026-02-19,Dropped,24
philosophical-investigations.org,255,Active,2026-02-19,Dropped,11
Bezuu.com,240,Active,2026-02-19,Private Seller,23
ConChat.com,322,SOLD,2026-02-19,Dropped,26
ByBets.com,651,SOLD,2026-02-19,Pre-Release,48
WindAt.org,220,SOLD,2026-02-19,Dropped,30
GettysburgGhostGals.com,220,SOLD,2026-02-19,Dropped,5
MarsServer.com,209,SOLD,2026-02-19,Private Seller,21
oggby.com,205,Active,2026-02-19,Private Seller,21
FoodIny.com,204,SOLD,2026-02-19,Dropped,22
BloggersInAmsterdam.com,203,SOLD,2026-02-19,Dropped,32
GeVest.com,221,SOLD,2026-02-19,Dropped,19
CJTB.com,194,Active,2026-02-19,Private Seller,13
YtwczSx.com,364,SOLD,2026-02-19,Dropped,29
modernworkaward.com,194,SOLD,2026-02-19,Private Seller,20
Yoocx.net,424,SOLD,2026-02-19,Dropped,32
Uosr.com,192,Active,2026-02-19,Private Seller,29
7sabores.com,191,SOLD,2026-02-19,Dropped,20
jobtodron.com,410,SOLD,2026-02-19,Private Seller,31
VTKR.com,181,SOLD,2026-02-19,Private Seller,24
Aodjk.com,444,SOLD,2026-02-19,Dropped,33
Gewutech.net,504,SOLD,2026-02-19,Dropped,36
LinolIu.com,604,SOLD,2026-02-19,Dropped,38
SoulCorner.com,174,SOLD,2026-02-19,Dropped,21
OYKN.com,174,Active,2026-02-19,Private Seller,19
horsedrawncaravans.com,174,SOLD,2026-02-19,Private Seller,17
Hwrr.com,170,Active,2026-02-19,Private Seller,21
forum-msk.org,170,Active,2026-02-19,Dropped,19
GardenTravelHub.com,160,Active,2026-02-19,Dropped,7
SandiegoNorth.com,185,SOLD,2026-02-19,Pre-Release,30
AppsForItaly.org,157,SOLD,2026-02-19,Dropped,6
uuom.com,155,Active,2026-02-19,Private Seller,11
dtuz.com,154,Active,2026-02-19,Private Seller,17
Komdia.com,203,SOLD,2026-02-19,Dropped,21
Vuuq.com,150,Active,2026-02-19,Private Seller,15
AxPeria.com,224,SOLD,2026-02-19,Dropped,24
BizCuIts.com,141,SOLD,2026-02-19,Dropped,15
ApoyaMe.com,221,SOLD,2026-02-19,Dropped,18
Ybza.com,140,Active,2026-02-19,Private Seller,12
GranLogiaCuba.org,200,SOLD,2026-02-19,Dropped,32
unesco-hellas.org,137,SOLD,2026-02-19,Dropped,10
QrCssD.com,134,SOLD,2026-02-19,Dropped,14
HandeeTeK.com,134,SOLD,2026-02-19,Dropped,14
KarpoPhoto.com,134,SOLD,2026-02-19,Dropped,14
LibresPaciolajicara.com,130,SOLD,2026-02-19,Dropped,22
GQFN.com,130,Active,2026-02-19,Private Seller,9
Eofu.com,130,Active,2026-02-19,Private Seller,11
ZipPly.com,130,Active,2026-02-19,Dropped,45
PhoenixInteriors.com,128,Active,2026-02-19,Dropped,28
toulousedemain.com,114,Active,2026-02-19,Private Seller,11
GuBbly.com,114,SOLD,2026-02-19,Dropped,12
oelwein-studio.com,114,Active,2026-02-19,Private Seller,11
TheTrailerShop.com,263,SOLD,2026-02-19,Dropped,26
GhBuilding.com,113,SOLD,2026-02-19,Pre-Release,20
DrainageExpert.com,212,SOLD,2026-02-19,Dropped,21
Tloq.com,110,Active,2026-02-19,Private Seller,9
izvd.com,110,Active,2026-02-19,Private Seller,13
Havcloud.com,110,Active,2026-02-19,Private Seller,6
Yzeq.com,110,Active,2026-02-19,Private Seller,8
Akkz.com,110,Active,2026-02-19,Private Seller,8
Fzlo.com,110,Active,2026-02-19,Private Seller,19
Yqiz.com,110,Active,2026-02-19,Private Seller,10
Adlq.com,110,Active,2026-02-19,Private Seller,10
RusPole.org,110,Active,2026-02-19,Dropped,8
qksi.com,104,Active,2026-02-19,Private Seller,11
iwxb.com,101,Active,2026-02-19,Private Seller,8
halkhemder2025.org,100,SOLD,2026-02-19,Dropped,20
OPhoenix.com,220,SOLD,2026-02-19,Dropped,22
hsx.net,99,Active,2026-02-19,Private Seller,9
TabiTech.com,99,SOLD,2026-02-19,Dropped,11
TweetSpear.com,99,SOLD,2026-02-19,Dropped,11
ActiveFi.com,124,SOLD,2026-02-19,Dropped,13
Doley.com,89,Active,2026-02-19,Dropped,36
GetawayHolidays.com,79,Active,2026-02-19,Dropped,16
straydogsgrill.com,480,SOLD,2026-02-19,Private Seller,31
Pixqr.com,111,SOLD,2026-02-19,Dropped,12
RareLife.com,75,Active,2026-02-19,Dropped,25
BaufinanzierungsrecHner.com,134,SOLD,2026-02-19,Dropped,14
IotinFra.com,104,SOLD,2026-02-19,Dropped,11
RVSZ.COM,74,Active,2026-02-19,Private Seller,3
SocialEcho.com,70,Active,2026-02-19,Dropped,36
VisMon.com,69,Active,2026-02-19,Dropped,6
AutomationBrain.com,224,SOLD,2026-02-19,Dropped,22
WhenYear.com,69,SOLD,2026-02-19,Dropped,4
shangrilalosgatos.com,69,SOLD,2026-02-19,Private Seller,3
EliasMarketing.com,77,SOLD,2026-02-19,Pre-Release,13
AutoVisual.com,65,Active,2026-02-19,Dropped,34
fracidf-leplateau.com,65,Active,2026-02-19,Dropped,4
jk-street-snap.com,65,Active,2026-02-19,Dropped,5
HandSurgery.net,64,Active,2026-02-19,Dropped,3
SanReQuan.com,64,Active,2026-02-19,Dropped,3
LACrevette.com,64,Active,2026-02-19,Dropped,4
Drji.com,69,Active,2026-02-19,Dropped,49
bonsallvillage.org,64,SOLD,2026-02-19,Private Seller,2
MailCampaigns.com,64,Active,2026-02-19,Dropped,4
GoldenBridgeNews.com,64,Active,2026-02-19,Dropped,3
JkllpTy.com,64,Active,2026-02-19,Dropped,3
FatihBank.com,64,Active,2026-02-19,Dropped,3
Idosa.com,64,Active,2026-02-19,Dropped,9
ToriSan.com,64,Active,2026-02-19,Dropped,7
EfeelCargo.com,64,Active,2026-02-19,Dropped,3
MidiBlogs.com,64,Active,2026-02-19,Dropped,6
Antiqueable.com,64,Active,2026-02-19,Dropped,7
Glulam.com,64,Active,2026-02-19,Dropped,19
fzy599.com,64,Active,2026-02-19,Dropped,3
MyMadina.com,64,Active,2026-02-19,Dropped,3
Sxcsim.net,64,Active,2026-02-19,Dropped,3
Sxlxth.com,64,Active,2026-02-19,Dropped,3
YyhfczBank.com,64,Active,2026-02-19,Dropped,3
accounting1.com,64,Active,2026-02-19,Dropped,5
CosyNeFund.com,64,Active,2026-02-19,Dropped,3
AqWsJdJ.com,64,Active,2026-02-19,Dropped,3
Sspei.com,64,Active,2026-02-19,Dropped,3
LifehackCn.com,64,Active,2026-02-19,Dropped,3
VodAland.com,64,Active,2026-02-19,Dropped,6
Heikos.com,64,Active,2026-02-19,Dropped,6
JdMuseum.com,64,Active,2026-02-19,Dropped,3
Ylmf.com,69,Active,2026-02-19,Dropped,42
YoushiAd.com,64,SOLD,2026-02-19,Dropped,3
MiizHan.com,64,Active,2026-02-19,Dropped,3
Hjfsdz.com,64,Active,2026-02-19,Dropped,3
TheGreenInsurer.com,64,Active,2026-02-19,Dropped,6
CodingW.net,64,Active,2026-02-19,Dropped,3
TradeRI.com,64,Active,2026-02-19,Dropped,5
twe56.com,64,Active,2026-02-19,Dropped,3
tui8.com,64,Active,2026-02-19,Dropped,3
ParaMat.com,69,Active,2026-02-19,Dropped,9
AmerIzon.com,64,Active,2026-02-19,Dropped,17
GroceryRobots.com,64,Active,2026-02-19,Dropped,3
ZheJing.net,64,Active,2026-02-19,Dropped,3
Zestive.com,64,Active,2026-02-19,Dropped,6
JinpuXf.com,64,Active,2026-02-19,Dropped,3
weixin12333.com,64,Active,2026-02-19,Dropped,3
mtbcyprus.com,64,SOLD,2026-02-19,Pre-Release,11
Tzsh.net,64,Active,2026-02-19,Dropped,3
eleven-smile.com,64,Active,2026-02-19,Dropped,3
FocusHunt.com,64,SOLD,2026-02-19,Dropped,3
Zhmsok.com,64,Active,2026-02-19,Dropped,3
LtSoft.com,64,Active,2026-02-19,Dropped,13
HomeNza.com,64,Active,2026-02-19,Dropped,3
YiSelf.com,64,Active,2026-02-19,Dropped,3
Xdqczl.com,64,Active,2026-02-19,Dropped,3
AiringNews.com,64,SOLD,2026-02-19,Pre-Release,12
CharShift.com,60,Active,2026-02-19,Dropped,2
GrafXSoftware.com,65,Active,2026-02-19,Dropped,5
JoomlaGe.com,60,Active,2026-02-19,Dropped,4
UtakMice.net,60,Active,2026-02-19,Dropped,3
ArtPlatter.com,65,Active,2026-02-19,Dropped,3
AmsterdamDenimDays.com,60,Active,2026-02-19,Dropped,3
CoinUpapp.com,60,Active,2026-02-19,Dropped,3
VisitingJogJa.com,60,Active,2026-02-19,Dropped,2
LoveCanArias.com,60,Active,2026-02-19,Dropped,2
TeAmbarLoWorld.com,60,Active,2026-02-19,Dropped,2
ForKandFlower.com,60,Active,2026-02-19,Dropped,2
wsd2017.com,60,Active,2026-02-19,Dropped,2
BullsAndBlackjack.com,60,Active,2026-02-19,Dropped,2
CultureSecrets.com,60,Active,2026-02-19,Dropped,3
WorldChampionshipRugby.com,60,Active,2026-02-19,Dropped,2
LewisTrondheim.com,60,Active,2026-02-19,Dropped,4
TheWaterworksRestaurant.com,60,Active,2026-02-19,Dropped,2
DvoracBelaJ.com,60,Active,2026-02-19,Dropped,2
BeadsProject.net,60,Active,2026-02-19,Dropped,4
UmetOnline.com,60,Active,2026-02-19,Dropped,3
GrabTrucks.com,60,Active,2026-02-19,Dropped,8
Gojb.net,60,Active,2026-02-19,Dropped,2
RestaurantemEncia.com,60,Active,2026-02-19,Dropped,2
HotelNatureZa.com,60,Active,2026-02-19,Dropped,2
EquiLibri.net,60,Active,2026-02-19,Dropped,2
SpectrumAudio.com,60,Active,2026-02-19,Dropped,12
GovOritnotariat.com,60,Active,2026-02-19,Dropped,6
BrightWaterAlaska.com,60,Active,2026-02-19,Dropped,2
GrammarPartyBlog.com,60,Active,2026-02-19,Dropped,6
HomespunIndy.com,60,Active,2026-02-19,Dropped,5
velo-city2023.com,60,Active,2026-02-19,Dropped,4
PostcardsForAmerica.com,60,Active,2026-02-19,Dropped,4
rote-ruhr-uni.com,65,Active,2026-02-19,Dropped,6
WilderDom.com,65,Active,2026-02-19,Dropped,10
ProfessionalVideoProduction.com,0,SOLD,2026-02-19,Private Seller,0
Intraperitoneal.com,0,SOLD,2026-02-19,Private Seller,0
RevenueBudget.com,0,SOLD,2026-02-19,Private Seller,0
Reimplemented.com,0,SOLD,2026-02-19,Private Seller,0
MailOnTheWeb.com,0,SOLD,2026-02-19,Private Seller,0
OrderQuantity.com,0,SOLD,2026-02-19,Private Seller,0
NoticedThis.com,0,SOLD,2026-02-19,Private Seller,0
Berriola.com,59,Active,2026-02-19,Private Seller,0
Decelerations.com,59,Active,2026-02-19,Private Seller,0
MaxUtilities.com,59,Active,2026-02-19,Private Seller,0
PrecipitousDecline.com,59,Active,2026-02-19,Private Seller,0
SharingWebsites.com,59,Active,2026-02-19,Private Seller,0
YouMayHave.com,59,Active,2026-02-19,Private Seller,0
TakeInto.com,59,Active,2026-02-19,Private Seller,0
