Domain,Price,Status,Date,Type,Bids
BistUm.net,3400,SOLD,2026-02-16,Dropped,32
CroKing.net,700,SOLD,2026-02-16,Dropped,17
Secfs.net,479,SOLD,2026-02-16,Dropped,17
JAVA-WARE.NET,220,SOLD,2026-02-16,Private Seller,3
JindocLoud.net,204,SOLD,2026-02-16,Dropped,22
SenKeresTe.net,174,SOLD,2026-02-16,Dropped,20
kunjie56.net,69,SOLD,2026-02-16,Dropped,4
YongXindianZi.net,69,SOLD,2026-02-16,Dropped,4
cakesbymarium.net,59,SOLD,2026-02-16,Private Seller,1
SwordsAndSouls.net,151,SOLD,2026-02-16,Dropped,17
TheProduct.net,23,SOLD,2026-02-16,Pre-Release,3
